home,away,home_goals,away_goals
Chook Chook Albion,FC Bootleggers,7,2
New Levels FC,Penalty Clause,2,2
Fishermans Friends,London Goons,2,6
Future FC,Prosecco Bois,1,6
Prosecco Bois,London Goons,2,1
Future FC,Penalty Clause,6,0
Chook Chook Albion,New Levels FC,6,3
Fishermans Friends,FC Bootleggers,4,2
Future FC,New Levels FC,2,4
Chook Chook Albion,Fishermans Friends,3,7
Prosecco Bois,FC Bootleggers,6,0
London Goons,Penalty Clause,7,4
London Goons,New Levels FC,4,8
Prosecco Bois,Fishermans Friends,3,3
Penalty Clause,FC Bootleggers,4,4
Chook Chook Albion,Future FC,3,5
Penalty Clause,Fishermans Friends,0,12
Chook Chook Albion,Prosecco Bois,2,7
London Goons,Future FC,3,4
FC Bootleggers,New Levels FC,3,4
FC Bootleggers,Future FC,3,6
New Levels FC,Fishermans Friends,7,3
Penalty Clause,Prosecco Bois,2,5
Chook Chook Albion,London Goons,5,1
Chook Chook Albion,Penalty Clause,13,4
FC Bootleggers,London Goons,3,2
Fishermans Friends,Future FC,5,4
New Levels FC,Prosecco Bois,0,5
Fishermans Friends,Law Abiding Savillian,6,2
Chook Chook Albion,New Levels FC,8,2
FC Bootleggers,Legacy Football,2,2
Future FC,Prosecco Bois,1,5
Penalty Clause,Future FC,0,9
Law Abiding Savillian,Legacy Football,5,4
Fishermans Friends,New Levels FC,3,0
FC Bootleggers,Prosecco Bois,1,5
Law Abiding Savillian,Prosecco Bois,3,6
FC Bootleggers,Future FC,3,1
Penalty Clause,Chook Chook Albion,1,10
Legacy Football,New Levels FC,2,5
Fishermans Friends,Chook Chook Albion,4,4
Penalty Clause,FC Bootleggers,2,6
New Levels FC,Prosecco Bois,3,1
Law Abiding Savillian,Future FC,3,7
Legacy Football,Chook Chook Albion,7,2
New Levels FC,Future FC,8,4
Law Abiding Savillian,FC Bootleggers,5,0
Penalty Clause,Fishermans Friends,2,7
New Levels FC,FC Bootleggers,6,3
Prosecco Bois,Chook Chook Albion,5,2
Penalty Clause,Law Abiding Savillian,1,8
Legacy Football,Fishermans Friends,5,1
New Levels FC,Law Abiding Savillian,4,2
Prosecco Bois,Fishermans Friends,3,1
Future FC,Chook Chook Albion,2,12
Penalty Clause,Legacy Football,1,3
Prosecco Bois,Legacy Football,5,0
Penalty Clause,New Levels FC,2,3
Future FC,Fishermans Friends,4,4
Chook Chook Albion,FC Bootleggers,11,1
Future FC,Legacy Football,5,8
FC Bootleggers,Fishermans Friends,4,2
Penalty Clause,Prosecco Bois,2,8
Chook Chook Albion,Law Abiding Savillian,5,3
